Date,Castlereigh,Norton,Maussakele,Canyon,Lakshapana,Upper Kotmale,Kotmale,Victoria,Randenigala,Rantambe,Bowatenna,Ukuwela,Samanala Wewa,Kukuleganga,Maskeliya (DOM),Inginiyagala,Total,Max,Min
2025-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,4.8,3.5,0.0
2025-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-03,,0.0,0.0,0.0,0.0,0.0,0.0,2.4,,2.2,7.5,1.0,0.0,0.0,0.0,0.0,13.1,7.5,0.0
2025-12-04,0.0,0.2,2.0,0.0,31.7,0.0,0.0,0.0,0.7,0.0,3.0,2.5,0.0,34.0,23.5,0.0,97.6,34.0,0.0
2025-12-05,0.0,2.5,1.5,8.5,1.0,3.2,8.0,19.5,40.4,43.2,22.3,8.3,4.0,43.0,11.0,12.0,228.4,43.2,0.0
2025-12-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,12.0,0.0,0.0,16.8,12.0,0.0
2025-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,6.0,11.4,0.0,0.0,7.0,0.0,1.0,42.0,16.6,0.0
2025-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.5,6.5,3.5,0.0
2025-12-09,2.0,0.0,1.0,3.1,0.0,1.0,0.0,17.1,15.0,25.4,7.3,33.9,0.0,0.0,0.5,6.2,112.5,33.9,0.0
2025-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.3,1.5,23.5,6.3,0.0,0.0,0.0,0.5,35.0,23.5,0.0
2025-12-11,24.1,10.5,95.0,10.9,18.0,9.5,12.0,33.4,49.6,6.2,32.8,8.0,21.0,7.0,85.5,29.0,452.5,95.0,6.2
2025-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.6,8.0,3.7,1.1,0.0,48.0,0.0,0.0,67.2,48.0,0.0
2025-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,3.6,4.0,14.6,2.8,0.0,14.0,16.5,0.0,57.8,16.5,0.0
2025-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.9,4.5,7.9,0.0,0.0,0.0,0.0,0.0,18.2,7.9,0.0
2025-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,12.0,13.6,12.0,0.0
2025-12-17,3.0,2.5,6.5,3.0,1.8,2.3,3.4,91.0,103.0,92.0,51.3,25.5,4.0,0.0,8.5,45.0,442.8,103.0,0.0
2025-12-18,1.0,1.3,0.0,0.6,2.9,1.8,0.0,46.0,65.5,55.4,59.4,48.1,0.0,3.0,0.0,47.0,332.0,65.5,0.0
2025-12-19,4.0,2.6,6.2,1.8,0.5,9.5,0.0,11.5,41.6,54.1,0.0,1.8,12.0,2.0,4.0,9.0,160.6,54.1,0.0
2025-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,4.1,0.0,0.0,0.0,20.0,0.5,4.0,31.4,20.0,0.0
2025-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.1,2.6,0.0,0.0,0.0,0.0,0.0,15.0,21.2,15.0,0.0
2025-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0
